bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,125,0.6800000071525574,0.6562608480453491,0.023739159107208252,Sugarcane,Sugarcane,validation,False
8,0.7000000000000001,0.8,0.75,148,0.7702702879905701,0.7489412426948547,0.021329045295715332,Sugarcane,Sugarcane,validation,False
9,0.8,0.9,0.8500000000000001,164,0.8902438879013062,0.8535026907920837,0.03674119710922241,Sugarcane,Sugarcane,validation,False
10,0.9,1.0,0.95,709,0.9675599336624146,0.9759919047355652,0.008431971073150635,Sugarcane,Sugarcane,validation,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Sugarcane,Sugarcane,validation,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Sugarcane,Sugarcane,validation,True
3,0.2,0.30000000000000004,0.25,2,0.0,0.2890486419200897,0.2890486419200897,Sugarcane,Sugarcane,validation,True
4,0.30000000000000004,0.4,0.35000000000000003,25,0.4399999976158142,0.354707807302475,0.08529219031333923,Sugarcane,Sugarcane,validation,True
5,0.4,0.5,0.45,68,0.5882353186607361,0.45426833629608154,0.13396698236465454,Sugarcane,Sugarcane,validation,True
6,0.5,0.6000000000000001,0.55,83,0.6024096608161926,0.5487155914306641,0.053694069385528564,Sugarcane,Sugarcane,validation,True
